datatype,_clipped,_debug,_green_area_m2,_green_percentage,_green_pixels,_is_green_roof,_ndvi_avg,_ndvi_max,_ndvi_min,_pixel_area_m2,_total_pixels,geotiff_byte_order,geotiff_compression_method,geotiff_interleaving_type
Generic,yes,"Step 1: Get raster | 166x189, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (166, 189) | Range: -0.523 to 65536.000 | Valid pixels: 17447 | NDVI avg: -0.017 | Green: 0.6% (1.1 m2) | Result: No | SUCCESS",1.13,0.65,113,No,-0.0167,0.4479,-0.5228,0.01,17447,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 122x148, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (122, 148) | Range: -0.378 to 65536.000 | Valid pixels: 12071 | NDVI avg: 0.065 | Green: 0.3% (0.3 m2) | Result: No | SUCCESS",0.32,0.27,32,No,0.0647,0.5537,-0.3785,0.01,12071,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 195x207, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (195, 207) | Range: -0.342 to 65536.000 | Valid pixels: 22149 | NDVI avg: 0.015 | Green: 0.4% (0.9 m2) | Result: No | SUCCESS",0.89,0.4,89,No,0.0147,0.7222,-0.3416,0.01,22149,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 70x94, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (70, 94) | Range: -0.284 to 65536.000 | Valid pixels: 5608 | NDVI avg: -0.080 | Green: 2.8% (1.6 m2) | Result: No | SUCCESS",1.58,2.82,158,No,-0.0797,0.7723,-0.2837,0.01,5608,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 139x135, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (139, 135) | Range: -0.236 to 65536.000 | Valid pixels: 10796 | NDVI avg: 0.084 | Green: 2.4% (2.6 m2) | Result: No | SUCCESS",2.6,2.41,260,No,0.0837,0.7487,-0.2363,0.01,10796,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 140x142, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (140, 142) | Range: -0.286 to 65536.000 | Valid pixels: 10615 | NDVI avg: 0.045 | Green: 0.6% (0.7 m2) | Result: No | SUCCESS",0.66,0.62,66,No,0.0449,0.4731,-0.2863,0.01,10615,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 167x176, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (167, 176) | Range: -0.439 to 65536.000 | Valid pixels: 15631 | NDVI avg: 0.010 | Green: 0.0% (0.1 m2) | Result: No | SUCCESS",0.07,0.04,7,No,0.0101,0.3524,-0.439,0.01,15631,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 135x153, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (135, 153) | Range: -0.383 to 65536.000 | Valid pixels: 11694 | NDVI avg: 0.069 | Green: 1.6% (1.8 m2) | Result: No | SUCCESS",1.83,1.56,183,No,0.0695,0.6994,-0.3826,0.01,11694,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 177x209, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (177, 209) | Range: -0.330 to 65536.000 | Valid pixels: 20163 | NDVI avg: -0.011 | Green: 0.1% (0.3 m2) | Result: No | SUCCESS",0.3,0.15,30,No,-0.011,0.3193,-0.3298,0.01,20163,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 348x153, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (348, 153) | Range: -0.497 to 65536.000 | Valid pixels: 37831 | NDVI avg: 0.088 | Green: 1.8% (6.7 m2) | Result: No | SUCCESS",6.66,1.76,666,No,0.0879,0.9972,-0.4966,0.01,37831,LSB,lzw,BIP
Generic,yes,"Step 1: Get raster | 160x128, 1 band(s) | Step 2: Pixel area | 0.0100 m2/pixel | Step 3: Get NDVI data | Interp: 0 | Got data via FMEReal64Tile | Step 4: Calculate stats | Shape: (160, 128) | Range: -0.303 to 65536.000 | Valid pixels: 11568 | NDVI avg: -0.005 | Green: 0.0% (0.0 m2) | Result: No | SUCCESS",0.03,0.03,3,No,-0.005,0.3504,-0.303,0.01,11568,LSB,lzw,BIP
